scene_id,scene_text,in_summary,aspects
10,"[' ( SARA and NICK stand over the table full of garbage . )', ' [[Sara]] all right , what do we know ?', ' [[Nick]] that all of this trash was found around the victim', ' [[Nick]] and she was buried with some very expensive trash', "" [[Sara]] yeah , there 's nothing wrong with this frying pan"", "" [[Sara]] could 've gone to goodwill or someplace"", ' [[Nick]] home pregnancy test', ' [[Nick]] negative', ' [[Nick]] better luck next time', ' [[Sara]] someone ... does not like frozen peas', "" [[Nick]] they were n't shopping at costco"", ' [[Nick]] they paid way too much for ice cream', "" [[Sara]] there 's a good chance our vic was wearing this shirt"", "" [[Nick]] let 's start trying to narrow this down to a neighborhood , huh ?"", ' [[Sara]] excellent idea', ' [[Sara]] uh , marker or sort ?', ' [[Nick]] sort', ' [[Nick]] please', ' ( SARA opens a pen and turns around to mark the map as NICK sorts through the garbage . )', "" [[Nick]] first up : '178 spaulding meadows ' uh , '174 storm cloud lane ' a second '174 storm cloud lane '"", ' ( SARA marks the wall map . )']",0,None
11,"[' ( ROBBINS goes over the bagged disc with CATHERINE . )', ' [[Robbins]] pulled it from the l4-l5 interspace', ' [[Robbins]] cobalt chromium molybdenum alloy with a titanium coating and an ultra high molecular weight polyethylene component', ' [[Robbins]] an artificial spinal disc', ' [[Robbins]] if you can recreate a spine the possibilities are endless', ' [[Catherine]] i thought , uh , disc replacement surgery involved fusing bone to bone', ' [[Robbins]] eh , typically , but it can limit mobility', "" [[Robbins]] with that little disc , your body does n't know the difference"", ' ( Quick CGI to the disc inside the body and moving back and forth . )', ' [[Robbins]] matches range of motion , flexibility and an axial rotation of a normal spine', ' ( End of CGI . )', ' ( Resume to present . )', ' [[Robbins]] still in clinical trials', ' [[Robbins]] less than a thousand surgeries have been performed in this country', ' [[Catherine]] oh , well , i like those odds', "" [[Robbins]] you 'll like this even better"", ' [[Robbins]] medium endplate , size 12 , polyethylene component and a six-degree lordosis angle', ' [[Robbins]] narrowed it down to one', ' [[Robbins]] amy ennis', ' [[Robbins]] austin , texas', ' ( ROBBINS gives CATHERINE the bagged disc . )', ' [[Catherine]] tourist ?', ' ( ROBBINS chuckles , turns and heads for the door . )', "" [[Robbins]] that 's for you to find out""]",1,Victim
12,"[' ( OFFICERS pull out the trash cans onto the road . )', ' ( NICK , CATHERINE and SARA open them up and check them for blood . )', ' [[Nick]] hey , is this all of them ?', ' [[Catherine]] yeah , every last one on storm cloud lane', "" [[Sara]] cans are on private property , it 's not trash day , how did you get consent ?"", "" [[Catherine]] i talked to the president of the owner 's association"", "" [[Nick]] what 'd you threaten her with ?"", ' [[Catherine]] a return visit', ' ( SARA sprays the can and finds blood . )', ' [[Sara]] hey , guys ?', ' [[Sara]] i got blood', ' [[Nick]] yeah', ' [[Nick]] yeah me , too', ' [[Catherine]] well , that makes five']",0,None
13,"[' ( They pull the five trash cans with the blood stains in them to the middle of the street . )', "" [[Catherine]] let 's see if any of it 's human"", ' ( They each swab and test the blood . )', "" ( SARA 'S test shows up not human . )"", "" ( NICK 'S test shows up as human . )"", ' [[Nick]] these two are human']",0,None
14,"[' ( They pull the two trash cans with the human blood stains in them further across the road , apart from the other cans . )', ' ( SARA looks inside the can . )', ' [[Sara]] if the vic was in here blood would have pooled to the bottom', ' [[Nick]] yeah , and blood dripped down the side of this one as the hydraulic arm dumped it', ' ( Quick flashback to : The trash collecting truck dumps the trash can contents into the bin The trash falls . )', ' ( We see the severed limb inside the bin End of flashback . )', ' ( Resume to present . )', ' [[Sara]] this is our can', ' ( CATHERINE looks at the can , then points . )', "" [[Catherine]] and that 's our house""]",0,None
15,"[' ( CATHERINE interviews DANIEL EASTON . )', ' [[Daniel_Easton]] you found blood ... in my trash can ?', ' [[Catherine]] any idea how it got there ?', ' [[Daniel_Easton]] no', ' [[Catherine]] do you know an amy ennis from austin , texas ?', ' ( NORA EASTON drives up and parks the car . )', "" ( She 's carrying a bouquet of flowers . )"", ' [[Daniel_Easton]] no', "" [[Catherine]] so , you have absolutely no idea what i 'm talking about ?"", ' ( NORA EASTON gets out of the car and walks out to the house . )', ' [[Nora_Easton]] dad ... you all right ?', "" [[Daniel_Easton]] i 'm fine"", "" [[Nora_Easton]] what 's going on ?"", "" [[Catherine]] i 'm just asking your father a few questions"", "" [[Daniel_Easton]] why do n't you go inside and make some dinner ?"", ' [[Nora_Easton]] what are you in the mood for ?', ' [[Daniel_Easton]] whatever you want', ' [[Daniel_Easton]] charlie , homework', ' [[Charlie_Easton]] hey', ' [[Charlie_Easton]] get the job ?', ' [[Daniel_Easton]] later', ' [[Catherine]] divorced ?', ' [[Daniel_Easton]] yeah', ' [[Daniel_Easton]] five years']",0,Perpetrator
16,"[' ( GRISSOM and WARRICK walk through the car lot to the building . )', "" [[Warrick]] i hear david 's resurrecting the dead now"", ' [[Grissom]] yeah , our little miracle worker', ' [[Warrick]] i just came from the hospital', "" [[Warrick]] that guy 's in icu with respiratory paralysis"", ' [[Warrick]] i did get a prelim on his blood work -- looks like some sort of an organic poison', ' [[Grissom]] well , that would explain the discoloration robbins found around his mouth', "" [[Marty_Gibson]] i 'm telling you , this is great"", "" [[Marty_Gibson]] you 're going to love this"", ' [[Marty_Gibson]] 30 miles to the gallon , very low maintenance', ' [[Marty_Gibson]] your people are going to love it', ' [[Marty_Gibson]] you know what ?', ' [[Marty_Gibson]] i want you to tell them to throw away the manuals', ' ( He hands him a business card . )', ' [[Marty_Gibson]] call me for anything', "" [[Marty_Gibson]] marty gibson does n't close a sale , he opens a relationship"", ' ( MARTY GIBSON leads the customer past GRISSOM and WARRICK . )', "" [[Warrick]] that guy 's a charmer"", ' [[Grissom]] yeah , real ricky roma']",1,Perpetrator
17,"[' ( A dog yips in the background . )', ' ( WARRICK and GRISSOM walk up to the receptionist . )', ' [[Nancy_Linden]] may i help you , gentlemen ?', "" [[Warrick]] i 'm warrick brown , this is gil grissom"", "" [[Warrick]] we 're from the las vegas crime lab"", ' [[Nancy_Linden]] oh', ' [[Nancy_Linden]] nanci linden', "" [[Nancy_Linden]] it 's a pleasure to meet you"", ' [[Grissom]] we have a warrant to search your premises', ' [[Nancy_Linden]] what for ?', ' [[Grissom]] for evidence concerning the attempted murder of fred stearns', ' [[Nancy_Linden]] oh , he had a heart attack', "" [[Nancy_Linden]] he 's dead"", "" [[Grissom]] no , he did n't ... and he 's not"", ' ( NANCI stares at them speechless . )', ' ( The dog barks . )', ' ( She turns to quiet her dog in her bag . )', ' [[Nancy_Linden]] gigi , shush', ' [[Nancy_Linden]] shh !', ' ( She kicks the bag lightly . )', ' ( The dog whimpers . )', "" [[Nancy_Linden]] i 'm sorry"", "" [[Nancy_Linden]] i 'm not supposed to bring her in here""]",0,None
18,"[' ( NANCY LINDEN leads GRISSOM and WARRICK up the stairs to the offices . )', ' ( She points the desks out to them . )', "" [[Nancy_Linden]] so , this was ... is fred 's desk"", "" [[Nancy_Linden]] nobody 's touched it since they took him away"", "" [[Nancy_Linden]] it 's bad luck"", ' [[Nancy_Linden]] middle desk is marty gibson', ' [[Nancy_Linden]] the one on the end is clyde hinton', ' [[Grissom]] thank you', ' ( NANCI LINDEN leaves the room . )', "" [[Warrick]] poison could 've come from any of these sources here"", ' [[Grissom]] oral fixation you think ?', ' [[Grissom]] constant need for gratification ?', ' [[Warrick]] in every way', ' [[Warrick]] this guy was like the monster closer', ' [[Warrick]] you ever buy a brand-new car , griss ?', "" [[Grissom]] depreciation does n't make it a logical investment"", ' ( WARRICK stands in front of the WHITEBOARD that has the commission numbers on it . )', ' ( It reads: )', "" [[Warrick]] it 's not about logic"", "" [[Warrick]] it 's about that smell"", "" [[Warrick]] there 's nothing like the smell of a brand-new car"", ' ( MARTY GIBSON steps into the office and holds out his business card . )', ' [[Marty_Gibson]] how right you are', ' [[Marty_Gibson]] marty gibson', "" [[Grissom]] we 're not buying , we 're looking"", "" [[Grissom]] if we need any help we 'll let you know"", "" [[Marty_Gibson]] sometimes it 's not about what you need , sometimes it 's about what you want"", ' ( MARTY GIBSON leaves the room . )', ' ( GRISSOM and WARRICK start to check the desks . )', ' ( GRISSOM finds gum wrappers . )', ' ( He checks the tips of the pens on the desk . )', "" ( He picks up the phone to find that it 's stuck to the base . )"", ' ( He looks at the phone . )', ' ( At the next desk , WARRICK collects the liquid in the mug . )', ' ( GRISSOM scrapes off some of the white stuff on the phone . )', ' ( WARRICK checks the sleeves of the jacket . )', ' ( GRISSOM collects the coffee in the mug . )', ' ( WARRICK collects something off of the sleeve . )', ' ( Camera zooms in for a extreme close up . )', ' ( GRISSOM tries the drawers . )', ' ( CLYDE HINTON leaning over the partition wall throws GRISSOM the keys to the drawer . )', ' [[Grissom]] you always , uh , lock your drawers ?', ' ( GRISSOM finds the glue bottle in the desk . )', ' [[Grissom]] huh', ' ( CLYDE HINTON snickers . )', "" [[Grissom]] you 're the one who super-glued fred 's phone"", ' ( CLYDE HINTON continues to chuckle . )', ' ( GRISSOM holds up the gum . )', "" [[Grissom]] 'chewing gum : will turn any mouth black for days '"", ' ( CLYDE HINTON starts laughing . )', ' ( WARRICK cell phone rings )', ' [[Warrick]] warrick brown', ' [[Grissom]] i get it', "" [[Grissom]] you 're the funny guy"", "" [[Clyde_Hinton]] you know the definition of 'kismet , ' mr grissom ?"", ' [[Grissom]] do you know the definition of attempted murder , mr hinton ?', ' [[Clyde_Hinton]] just go with me for a second', ' [[Grissom]] go with you where ?', "" [[Clyde_Hinton]] come on ... 'kismet '"", ' [[Grissom]] fate , or destiny', "" [[Grissom]] it 's from the arabic word meaning to distribute , or divide up"", ' [[Clyde_Hinton]] smart guy', "" [[Clyde_Hinton]] destiny is what you make of it.it 's what gets distributed to me while the other guy 's washing the stain off his lips"", ' ( Quick flashback to : FRED STEARNS swings around in his chair and talks with CLYDE and MARTY . )', ' [[Fred_Stearns]] well , boys , just closed another fatty', ' [[Fred_Stearns]] two hours of schmooze -', ' ( FRED unwraps a piece of gum and pops it into his mouth . )', ' ( He starts chewing . )', "" [[Fred_Stearns]] i ca n't lose"", ' ( MARTY looks over at FRED and nods . )', ' [[Marty_Gibson]] your lips', ' ( FRED grabs the mirror and checks it . )', ' ( Sure enough , his lips and teeth are stained black . )', ' [[Fred_Stearns]] clyde !', "" [[Clyde_Hinton]] do n't worry , freddy"", "" [[Clyde_Hinton]] i 'll handle the client"", ' ( FRED starts wiping the stain off of his mouth . )', ' ( CLYDE steps up and everyone laughs . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Clyde_Hinton]] look , everyone tries to get an edge in this business', ' [[Clyde_Hinton]] i use jokes', ' ( WARRICK steps up to the partition . )', ' [[Warrick]] fred stearns just passed away', ' [[Warrick]] again', "" ( CLYDE HINTON appropriately does n't laugh at the news . )"", ' [[Grissom]] dead guy', ' [[Grissom]] not funny']",0,None
19,"[' ( DAVID PHILLIPS leans over the body and into the camera . )', ' ( ROBBINS appears next to him and looks down into the camera also . )', ' [[Robbins]] okay , david , take two', ' ( DAVID starts the Y-incision . )']",0,None
20,"[' ( BRASS and CATHERINE walk through the hallway . )', "" [[Brass]] no luck on amy ennis 's next of kin the austin pd is still working on it"", ' [[Catherine]] well , we know that she had a kid', ' [[Brass]] well , she gave birth', "" [[Brass]] that does n't mean that she had a kid"", "" [[Catherine]] so , what , we 've got nothing ?"", ' [[Brass]] we have a mercury sable , uh , texas plates , found in the lot of the tangiers hotel', "" [[Brass]] she 's the registered owner"", "" [[Brass]] they 're bringing it in now""]",0,None
21,"[' ( DAVID cuts into the stomach . )', ' ( He empties out the contents and looks inside . )', ' ( ROBBINS watches in the back . )', ' [[David_Phillips]] if the poison was administered orally i may know how it got into the bloodstream', "" ( GRISSOM turns to look at what DAVID 'S talking about . )"", ' [[David_Phillips]] gastric ulcer', ' ( Quick CGI to : Top view down on a male chest . )', ' [[David_Phillips]] in a healthy , functioning stomach ,', ' ( Camera drops down and through the chest to show the outer stomach . )', ' ( Clear liquid coats the outer stomach lining . )', ' [[David_Phillips]] ... mucosa lines the walls and prevents the hydrochloric acid from burning the organ itself', ' ( A thick black liquid pours down and coats the stomach lining . )', ' [[David_Phillips]] but if h. pylori gets in there , sends the whole system off-balance , stops the mucosa , and causes an ulcer', ' ( The black liquid moves aside , the mucosa moves aside to reveal an ulcer underneath . )', ' ( End of quick CGI . )', ' ( Resume to present . )', ' [[David_Phillips]] opens a direct channel from your digestive tract straight into your bloodstream', ' [[David_Phillips]] i know a lot about stress-related ailments', ' [[Robbins]] any word yet on a poison ?', ' [[Grissom]] tox screen ruled out the ink gum', "" [[Robbins]] it could 've been a factor , though"", ' [[Robbins]] uh , gum churns up stomach acid -- instant inflammation', "" [[Grissom]] i do n't care about his indigestion , doc"", ' [[Grissom]] we need to know what killed him']",0,None
22,"[' ( NICK and SARA go over the car contents . )', "" ( SARA goes through AMY ENNIS ' suitcase . )"", ' ( She holds up a black teddy . )', "" [[Sara]] well , she was n't in town on business"", "" [[Nick]] what 's that ?"", ' ( NICK looks up . )', ' ( SARA turns around and holds the black teddy in front of her . )', ' ( She clicks her tongue and shakes the teddy in front of her . )', ' [[Nick]] oh !', ' [[Nick]] depends on what her business was , i guess', ' ( SARA turns around and puts the teddy back into the suitcase . )', ' ( She checks its contents . )', ' [[Sara]] nothing risqué about the rest of her wardrobe', ' [[Nick]] maybe she got it here', "" [[Nick]] she could 've met somebody , you know"", ' ( SARA checks the suitcase pocket . )', ' ( NICK puts on a mask and holds up the hand-held sized cyanoacrylate fuming wand . )', "" [[Nick]] okay , i 'm going to fume"", ' [[Sara]] okay', ' ( NICK opens the car door , crawls in and looks for prints . )', ' ( After a while , he finds a print on the steering wheel . )', ' ( Camera zooms in for a close up . )']",0,None
23,"[' ( Camera overlaps the print on the steering wheel with the extracted print on the computer monitor on the left side while the right side looks for a match . )', ' ( The computer beeps . )', "" ( There 's a match . )"", ' ( NICK continues to work at the computer . )', ' ( CATHERINE walks into the lab . )', ' [[Catherine]] according to greg , the hairs and the dna from the toothbrush are a match to the vic', ' [[Catherine]] what about the prints from her car ?', ' [[Nick]] i thought i messed it up , so i ran it twice', ' ( NICK prints out the results . )', ' ( He hands it to CATHERINE . )', ' [[Nick]] no errant prints , all a match to the same woman', ' [[Catherine]] amy ennis', "" [[Nick]] no 'amy ennis ' in the database"", ' [[Catherine]] well , amy ennis is our vic', "" [[Catherine]] it 's her car"", "" [[Nick]] prints came back to somebody named 'kelly easton '"", ' ( CATHERINE looks at the print results . )', ' ( It reads: )', ' [[Catherine]] kelly easton ... easton ... 174 storm cloud lane ?', "" [[Nick]] what 's the first thing you do when you do n't want to be found ?"", ' [[Catherine]] leave town', ' [[Nick]] yeah ... and change your name']",1,Victim
24,"[' ( OFFICER cars with their lights flashing are parked outside the EASTON residence . )', ' ( CATHERINE talks with DANIEL EASTON . )', ' [[Catherine]] ... want to mulligan on your first story ?', "" [[Catherine]] 'divorced ' ?"", ' [[Daniel_Easton]] what the hell was i supposed to say ?', ' [[Daniel_Easton]] my wife went out to get her hair done and never came home', ' [[Catherine]] well , maybe you gave her a reason to leave', ' [[Catherine]] spousal abuse , cheating', ' [[Daniel_Easton]] aaww , you people', ' [[Daniel_Easton]] you know , you were here five years ago with your grid searches , your dogs , your cadets -- you came up empty', "" [[Daniel_Easton]] you give me a good reason why my wife left me , i 'd love to hear it , because i tried the truth"", "" [[Daniel_Easton]] i did n't know what happened"", ' [[Daniel_Easton]] you know what i got for it ?', ' [[Daniel_Easton]] they all think i killed my wife', ' [[Daniel_Easton]] her parents sued me for custody', ' [[Daniel_Easton]] i lost my job , my friends', ' [[Daniel_Easton]] only thing i got left are those kids and this house', "" [[Catherine]] okay , you did n't kill her"", ' [[Catherine]] at least back then']",0,None
25,"[' ( CATHERINE and SARA check the bedroom using ALS . )', ' ( CATHERINE checks the bed . )', ' ( SARA checks the seats . )', ' ( She finds something . )', ' ( She also finds a pair of lacy panties . )', "" [[Sara]] i do n't think these belong to dad"", ' [[Catherine]] could place mrs easton at the house']",0,None
26,"[' ( DANIEL EASTON explains the lacy panties to SARA . )', ' [[Daniel_Easton]] she came back about a month ago', ' [[Daniel_Easton]] doorbell rings', ' ( Quick flashback to : DANIEL EASTON opens the front door . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Daniel_Easton]] huh , what do you say ?', ' ( Quick flashback to : The door is pushed open and AMY ENNIS/KELLY EASTON walks into the room . )', ' [[Amy_Ennis/Kelly_Easton]] hi', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Sara]] you tell me', "" [[Sara]] whatever it is , it must 've worked"", ' [[Sara]] she was back in your bedroom', ' [[Daniel_Easton]] well , they say time heals all wounds', "" [[Daniel_Easton]] it 's crap"", ' [[Daniel_Easton]] i hate her for what she did to us , but i swear , it was the first time i felt anything in five years']",0,None
27,"[' ( CATHERINE pulls the bed covers back and continues to look for evidence . )', ' ( CATHERINE finds a strand of hair . )', ' ( She takes a tape and lifts it . )']",0,None
28,"["" ( NICK uses the ALS in CHARLIE 'S bedroom . )"", "" ( He looks on the walls , on the bed , and notices CHARLIE 'S journal on the desk . )"", "" ( NICK opens it and sees pages and pages of violent drawings with notes such as 'PAIN ' , 'SKOOL BITES ' , 'HATE ' . )""]",0,None
29,"[' ( NICK talks with CHARLIE EASTON . )', "" [[Charlie_Easton]] so , she 's really dead ?"", ' [[Nick]] yeah', "" [[Nick]] yeah , i 'm sorry"", ' [[Charlie_Easton]] figures', "" [[Nick]] how 's that ?"", ' [[Charlie_Easton]] she left without telling us', "" [[Charlie_Easton]] figures she 'd die the same way"", "" [[Nick]] i do n't think your mom knew she was going to die , bud"", ' [[Charlie_Easton]] whatever', ' ( CHARLIE withdraws and puts on his earphone with loud music on . )']",0,None
